2025-11-06 22:38:56.481 | INFO     | __main__:main:65 - Setting up the TradingHub and its agents.
2025-11-07 20:10:06.114 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.114338 | Avg Spread: 0.1053 (from 57 values)
2025-11-07 20:10:06.114 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.114848 | Avg Spread: 0.1041 (from 58 values)
2025-11-07 20:10:06.115 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.115347 | Avg Spread: 0.1031 (from 59 values)
2025-11-07 20:10:06.115 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.115824 | Avg Spread: 0.1020 (from 60 values)
2025-11-07 20:10:06.116 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.116300 | Avg Spread: 0.1011 (from 61 values)
2025-11-07 20:10:06.116 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.116774 | Avg Spread: 0.1003 (from 62 values)
2025-11-07 20:10:06.117 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.117408 | Avg Spread: 0.0995 (from 63 values)
2025-11-07 20:10:06.118 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.118540 | Avg Spread: 0.0988 (from 64 values)
2025-11-07 20:10:06.119 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.119287 | Avg Spread: 0.0980 (from 65 values)
2025-11-07 20:10:06.120 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.119981 | Avg Spread: 0.0973 (from 66 values)
2025-11-07 20:10:06.120 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.120484 | Avg Spread: 0.0966 (from 67 values)
2025-11-07 20:10:06.121 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.121101 | Avg Spread: 0.0959 (from 68 values)
2025-11-07 20:10:06.121 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.121856 | Avg Spread: 0.0952 (from 69 values)
2025-11-07 20:10:06.122 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.122667 | Avg Spread: 0.0946 (from 70 values)
2025-11-07 20:10:06.123 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.123401 | Avg Spread: 0.0939 (from 71 values)
